[4.58s -> 4.80s]  To
[33.72s -> 33.86s]  gonna
[33.86s -> 34.10s]  leave
[34.10s -> 34.14s]  a
[34.14s -> 34.28s]  ship
[34.28s -> 34.44s]  get
[34.44s -> 34.72s]  outdry
[34.72s -> 34.84s]  my
[34.84s -> 35.06s]  way
[35.06s -> 35.36s]  Went
[35.36s -> 35.48s]  to
[35.48s -> 35.68s]  work
[35.68s -> 35.78s]  I
[35.78s -> 35.94s]  said
[35.94s -> 36.22s]  I
[36.22s -> 36.38s]  made
[36.38s -> 36.58s]  this
[36.58s -> 36.70s]  one
[36.70s -> 36.84s]  to
[36.84s -> 37.02s]  come
[37.02s -> 37.16s]  though
[37.16s -> 37.30s]  that
[37.30s -> 37.46s]  we
[37.46s -> 37.86s]  parted
[37.86s -> 38.26s]  Then
[38.26s -> 38.44s]  we
[38.44s -> 38.72s]  came
[38.72s -> 38.94s]  to
[38.94s -> 39.16s]  meet
[39.16s -> 39.34s]  and
[39.34s -> 39.62s]  it's
[39.62s -> 39.70s]  such
[39.70s -> 39.88s]  a
[39.88s -> 40.22s]  time
[40.22s -> 40.68s]  falling
[40.68s -> 41.08s]  for
[41.08s -> 41.30s]  you
[41.30s -> 41.52s]  I
[41.52s -> 41.92s]  learned
[41.92s -> 42.10s]  I
[42.10s -> 42.32s]  fell
[42.32s -> 42.50s]  in
[42.50s -> 42.68s]  love
[42.68s -> 42.82s]  See
[42.82s -> 42.98s]  I
[42.98s -> 43.18s]  was
[43.18s -> 43.36s]  feeling
[43.36s -> 43.56s]  that
[43.56s -> 44.00s]  joy
[44.00s -> 44.36s]  was
[44.36s -> 44.56s]  bound
[44.56s -> 44.90s]  to
[44.90s -> 45.06s]  be
[45.06s -> 45.40s]  so
[45.40s -> 45.84s]  Said
[45.84s -> 46.32s]  why
[46.32s -> 46.50s]  I
[46.50s -> 46.78s]  said
[46.78s -> 47.06s]  that
[47.06s -> 47.28s]  all
[47.28s -> 47.66s]  I'm
[47.66s -> 48.06s]  treasuring
[48.06s -> 48.30s]  has
[48.30s -> 48.54s]  been
[48.54s -> 48.82s]  faded
[48.82s -> 49.06s]  too
[49.06s -> 49.48s]  And
[49.48s -> 49.64s]  in
[49.64s -> 49.74s]  a
[49.74s -> 50.22s]  growl
[50.22s -> 50.44s]  a
[50.44s -> 51.44s]  realm
[51.44s -> 51.82s]  of
[51.82s -> 52.20s]  gathering
[52.20s -> 52.98s]  walls
[52.98s -> 53.80s]  I
[53.80s -> 54.16s]  can't
[54.16s -> 54.44s]  leave
[54.44s -> 54.78s]  my
[54.78s -> 55.01s]  store
[55.52s -> 55.92s]  I
[55.92s -> 56.18s]  need
[56.18s -> 56.30s]  to
[56.42s -> 56.52s]  pull
[56.52s -> 56.66s]  a
[56.66s -> 56.84s]  beat
[56.84s -> 56.98s]  up
[56.98s -> 57.14s]  with
[57.14s -> 57.24s]  a
[57.25s -> 57.42s]  straight
[57.42s -> 57.63s]  eye
[57.76s -> 58.20s]  But
[58.46s -> 58.70s]  sitting
[58.70s -> 58.94s]  up
[58.94s -> 59.04s]  the
[59.04s -> 59.24s]  way
[59.24s -> 59.34s]  you
[59.34s -> 59.54s]  never
[59.54s -> 59.65s]  meant
[59.82s -> 60.54s]  Heart
[60.54s -> 61.00s]  is
[61.06s -> 61.16s]  with
[61.16s -> 61.30s]  you,
[61.34s -> 61.52s]  forgive
[61.52s -> 61.92s]  me
[62.08s -> 62.18s]  All
[62.18s -> 62.38s]  I
[62.38s -> 62.52s]  want
[62.52s -> 62.62s]  is
[62.62s -> 62.62s]  to
[62.62s -> 62.82s]  hurt
[62.82s -> 62.96s]  your
[62.96s -> 63.18s]  bones
[63.18s -> 63.40s]  and
[63.40s -> 63.56s]  it
[63.56s -> 63.68s]  cut
[63.68s -> 63.80s]  me
[63.80s -> 64.04s]  off
[64.04s -> 64.56s]  So
[64.56s -> 65.14s]  I
[65.14s -> 65.50s]  can't
[65.50s -> 65.58s]  stand
[65.58s -> 66.20s]  everything
[66.20s -> 66.56s]  that
[66.56s -> 66.82s]  that's
[66.82s -> 67.02s]  how
[67.02s -> 67.18s]  I
[67.18s -> 67.34s]  was
[67.34s -> 67.42s]  to
[67.42s -> 67.54s]  be
[67.54s -> 67.72s]  the
[67.72s -> 67.94s]  bad
[67.94s -> 68.16s]  one
[69.04s -> 69.48s]  Can't
[69.48s -> 69.92s]  anymore,
[70.12s -> 70.34s]  I
[70.34s -> 70.58s]  got
[70.58s -> 70.94s]  a
[71.20s -> 71.38s]  people
[71.38s -> 71.82s]  as
[71.82s -> 72.12s]  you
[72.12s -> 73.02s]  know
[73.02s -> 73.36s]  All
[73.36s -> 73.72s]  night's
[73.72s -> 74.26s]  fooling
[74.26s -> 74.52s]  me
[74.52s -> 74.92s]  La
[74.92s -> 75.16s]  la
[75.16s -> 75.32s]  la
[75.32s -> 75.60s]  la
[75.60s -> 75.98s]  la
[75.98s -> 76.24s]  la
[76.24s -> 76.44s]  la
[76.44s -> 76.56s]  oh
[76.56s -> 77.06s]  La
[77.06s -> 77.42s]  la
[77.42s -> 77.74s]  la
[77.74s -> 78.12s]  la
[78.12s -> 78.32s]  la
[78.32s -> 78.60s]  la
[78.60s -> 78.78s]  la
[78.78s -> 78.98s]  oh
[78.98s -> 79.52s]  La
[79.52s -> 79.86s]  la
[79.86s -> 80.08s]  la
[80.08s -> 80.32s]  la
[80.32s -> 80.66s]  la
[80.66s -> 80.98s]  la
[80.98s -> 81.14s]  la
[81.14s -> 81.36s]  oh
[81.94s -> 82.38s]  And
[82.59s -> 82.74s]  I
[82.74s -> 82.88s]  could
[82.88s -> 83.04s]  not
[83.04s -> 83.30s]  reach
[83.30s -> 83.48s]  for
[83.49s -> 83.80s]  that
[83.80s -> 84.20s]  sight
[84.20s -> 84.40s]  I
[84.40s -> 84.68s]  failed
[84.68s -> 84.88s]  to
[84.88s -> 85.08s]  end
[85.08s -> 85.30s]  my
[85.30s -> 85.54s]  bond
[85.54s -> 85.76s]  The
[85.76s -> 85.92s]  grind
[85.92s -> 86.06s]  has
[86.06s -> 86.20s]  been
[86.20s -> 86.60s]  surprising
[88.04s -> 88.14s]  The
[88.14s -> 88.32s]  much
[88.32s -> 88.54s]  act
[88.54s -> 88.76s]  that
[88.76s -> 88.86s]  with
[88.86s -> 89.08s]  me
[89.08s -> 89.30s]  I
[89.30s -> 89.48s]  tap
[89.48s -> 89.72s]  every
[89.72s -> 90.04s]  time
[90.04s -> 90.26s]  Give
[90.26s -> 90.42s]  me
[90.42s -> 90.56s]  a
[90.56s -> 90.76s]  Mr.
[90.86s -> 91.00s]  Guy
[91.00s -> 91.16s]  And
[91.16s -> 91.40s]  telling
[91.40s -> 91.76s]  powers
[91.76s -> 92.32s]  crept
[92.32s -> 92.70s]  out
[92.70s -> 92.92s]  I
[92.92s -> 93.12s]  pour
[93.12s -> 93.44s]  life
[93.44s -> 93.62s]  into
[93.62s -> 93.84s]  things
[93.84s -> 94.30s]  I
[94.30s -> 94.58s]  see
[94.58s -> 94.96s]  and
[94.96s -> 95.26s]  draw
[95.26s -> 95.70s]  As
[95.70s -> 95.76s]  I
[95.76s -> 96.04s]  distribute
[96.04s -> 96.70s]  with
[96.70s -> 97.04s]  this
[97.04s -> 97.36s]  power
[97.42s -> 98.02s]  Even
[98.02s -> 98.20s]  though
[98.20s -> 98.38s]  the
[98.38s -> 98.64s]  dying
[98.64s -> 98.82s]  green
[98.82s -> 99.06s]  arrows
[99.06s -> 99.54s]  Darned
[99.54s -> 99.70s]  all
[99.70s -> 99.84s]  the
[99.84s -> 100.08s]  access
[100.08s -> 100.30s]  to
[100.30s -> 100.42s]  And
[100.42s -> 100.58s]  I
[100.58s -> 100.74s]  could
[100.74s -> 100.94s]  give
[100.94s -> 101.08s]  her
[101.08s -> 101.26s]  this
[101.26s -> 101.52s]  time
[101.52s -> 101.66s]  that
[101.66s -> 101.82s]  I
[101.82s -> 102.16s]  hold
[102.16s -> 102.44s]  And
[102.44s -> 102.82s]  I'm
[102.82s -> 103.06s]  ready
[103.06s -> 103.28s]  for
[103.28s -> 103.50s]  love
[104.52s -> 104.66s]  The
[104.66s -> 104.92s]  life
[104.92s -> 105.12s]  of
[105.12s -> 105.18s]  a
[105.18s -> 105.68s]  sendro
[105.68s -> 106.04s]  is
[106.18s -> 106.32s]  more
[106.32s -> 106.70s]  pieces
[106.70s -> 106.88s]  than
[106.98s -> 107.26s]  anybody
[107.26s -> 107.48s]  that
[107.48s -> 107.68s]  ends
[107.68s -> 107.90s]  up
[108.46s -> 108.68s]  Then
[108.68s -> 108.84s]  I
[108.94s -> 109.04s]  found
[109.06s -> 109.16s]  a
[109.16s -> 109.34s]  meaning
[109.48s -> 109.58s]  to
[109.58s -> 109.88s]  my
[109.88s -> 110.26s]  life
[110.30s -> 110.44s]  So
[110.44s -> 110.64s]  was
[110.64s -> 110.98s]  everything
[110.98s -> 111.40s]  when
[111.40s -> 111.56s]  I
[111.56s -> 111.70s]  got
[111.70s -> 111.86s]  to
[111.86s -> 112.06s]  meet
[112.06s -> 112.26s]  ya
[112.34s -> 113.04s]  Resembling
[113.04s -> 113.50s]  me
[113.50s -> 113.64s]  you
[113.64s -> 113.84s]  had
[113.84s -> 114.10s]  been
[114.10s -> 114.26s]  all
[114.26s -> 114.46s]  better
[114.46s -> 114.78s]  days
[114.78s -> 115.06s]  living
[115.06s -> 115.36s]  in
[115.36s -> 115.44s]  the
[115.44s -> 115.72s]  walls
[115.72s -> 116.02s]  And
[116.02s -> 116.20s]  when
[116.20s -> 116.32s]  I
[116.32s -> 116.52s]  tried
[116.52s -> 116.66s]  to
[116.66s -> 116.84s]  leave
[116.84s -> 117.32s]  before
[117.32s -> 117.80s]  an
[117.80s -> 118.02s]  end
[118.02s -> 118.20s]  in
[118.20s -> 118.38s]  my
[118.38s -> 118.66s]  own
[118.66s -> 118.92s]  cup
[118.92s -> 119.20s]  Man
[119.20s -> 119.56s]  I'm
[119.56s -> 119.78s]  in
[119.78s -> 120.06s]  the
[120.06s -> 120.14s]  middle
[120.14s -> 120.30s]  of
[120.30s -> 120.50s]  a
[120.50s -> 120.76s]  night
[120.76s -> 121.00s]  I
[121.00s -> 121.16s]  was
[121.16s -> 121.32s]  miss
[121.32s -> 121.48s]  my
[121.48s -> 121.68s]  life
[121.68s -> 121.94s]  But
[121.94s -> 122.18s]  I
[122.18s -> 122.56s]  know
[122.56s -> 122.78s]  you
[122.78s -> 123.08s]  already
[123.08s -> 123.40s]  have
[123.40s -> 123.94s]  somebody
[123.94s -> 124.34s]  who's
[124.34s -> 124.40s]  so
[124.40s -> 124.66s]  dear
[124.66s -> 124.90s]  to
[124.90s -> 125.10s]  you
[125.10s -> 125.38s]  He
[125.38s -> 125.52s]  went
[125.52s -> 125.70s]  on
[125.70s -> 125.86s]  and
[125.86s -> 126.22s]  betrayed
[126.22s -> 126.56s]  you
[126.56s -> 126.78s]  and
[126.78s -> 126.88s]  you
[126.88s -> 126.96s]  know
[126.96s -> 126.96s]  it's
[126.96s -> 126.96s]  wrong
[126.96s -> 126.96s]  And
[126.96s -> 127.24s]  even
[127.24s -> 127.44s]  so
[127.44s -> 127.54s]  to
[127.54s -> 127.86s]  reside
[127.86s -> 128.12s]  inside
[128.12s -> 128.44s]  your
[128.44s -> 128.70s]  love
[128.70s -> 128.92s]  for
[128.92s -> 129.12s]  him
[129.12s -> 129.36s]  flows
[129.36s -> 129.68s]  So
[129.68s -> 130.00s]  now
[130.00s -> 130.28s]  he's
[130.28s -> 130.30s]  on
[130.30s -> 130.46s]  a
[130.46s -> 130.64s]  way
[130.64s -> 130.74s]  to
[130.74s -> 130.84s]  a
[130.84s -> 131.04s]  fate
[131.04s -> 131.28s]  out
[131.28s -> 131.52s]  life
[131.52s -> 131.76s]  to
[131.76s -> 131.98s]  lose
[131.98s -> 132.14s]  all
[132.14s -> 132.24s]  use
[132.24s -> 132.52s]  You
[132.52s -> 132.74s]  kept
[132.74s -> 132.86s]  on
[132.86s -> 133.18s]  crying
[133.18s -> 133.56s]  and
[133.56s -> 133.68s]  it
[133.68s -> 133.88s]  was
[133.88s -> 134.06s]  his
[134.06s -> 134.32s]  name
[134.32s -> 134.52s]  you
[134.52s -> 134.98s]  called
[136.60s -> 137.16s]  It
[137.16s -> 137.48s]  took
[137.48s -> 137.68s]  the
[137.68s -> 137.86s]  sight
[137.86s -> 138.10s]  of
[138.14s -> 138.24s]  you
[138.24s -> 138.42s]  to
[138.42s -> 138.70s]  make
[138.70s -> 138.92s]  me
[138.92s -> 139.52s]  realize
[139.54s -> 140.42s]  I
[140.70s -> 140.80s]  need
[140.80s -> 141.12s]  a
[141.12s -> 141.50s]  single
[141.50s -> 142.06s]  day
[142.06s -> 142.86s]  So
[142.91s -> 143.24s]  call
[143.24s -> 143.50s]  me
[143.50s -> 143.82s]  dead
[143.82s -> 144.08s]  All
[144.08s -> 144.24s]  the
[144.24s -> 144.46s]  soul
[144.46s -> 144.68s]  to
[144.68s -> 145.08s]  draw
[145.08s -> 145.48s]  into
[145.48s -> 145.96s]  Burn
[145.96s -> 146.30s]  in
[146.30s -> 146.52s]  my
[146.52s -> 146.94s]  life
[146.94s -> 147.30s]  In
[147.30s -> 147.70s]  what
[147.70s -> 147.98s]  I
[147.98s -> 148.78s]  sketched
[148.78s -> 148.98s]  out
[150.08s -> 150.18s]  And
[150.24s -> 150.40s]  from
[150.40s -> 150.78s]  there
[152.06s -> 152.62s]  Wraiths
[152.62s -> 152.82s]  float
[152.82s -> 153.20s]  up
[153.20s -> 153.48s]  in
[153.48s -> 153.72s]  an
[153.72s -> 154.06s]  ice
[154.06s -> 154.36s]  I
[154.36s -> 154.62s]  made
[154.62s -> 154.76s]  it
[154.76s -> 155.02s]  happen,
[155.06s -> 155.32s]  it's
[155.32s -> 155.32s]  a
[155.32s -> 155.66s]  miracle,
[155.76s -> 156.20s]  baby
[156.20s -> 156.58s]  As
[156.58s -> 156.68s]  you
[156.68s -> 156.86s]  were
[156.92s -> 157.02s]  shedding
[157.22s -> 157.36s]  tears
[157.36s -> 157.66s]  coming
[157.78s -> 157.88s]  from
[157.89s -> 158.06s]  your
[158.06s -> 158.26s]  glass
[158.26s -> 158.90s]  Foolish,
[158.90s -> 159.28s]  wearing
[159.28s -> 159.70s]  no
[159.70s -> 160.08s]  trial
[160.08s -> 160.54s]  To
[160.54s -> 160.74s]  have
[160.74s -> 160.88s]  you
[160.90s -> 161.08s]  know
[161.08s -> 161.22s]  in
[161.22s -> 161.36s]  my
[161.36s -> 161.56s]  thought
[162.18s -> 162.70s]  Listen,
[162.88s -> 163.36s]  in
[163.36s -> 163.60s]  that
[163.60s -> 163.96s]  way,
[164.02s -> 164.32s]  giving
[164.32s -> 164.52s]  me
[164.52s -> 164.62s]  the
[164.64s -> 164.82s]  joy
[164.82s -> 164.92s]  to
[164.92s -> 165.12s]  live
[165.12s -> 165.38s]  my
[165.38s -> 165.70s]  life
[165.70s -> 165.96s]  again
[165.96s -> 166.24s]  I'm
[166.24s -> 166.36s]  waiting
[166.36s -> 166.50s]  for
[166.50s -> 166.64s]  you,
[166.68s -> 167.03s]  I
[167.62s -> 167.72s]  so
[167.72s -> 168.48s]  truly
[168.48s -> 169.24s]  have
[169.47s -> 169.60s]  love
[169.60s -> 169.92s]  for
[169.92s -> 170.18s]  you
[170.18s -> 170.58s]  Deep
[170.58s -> 171.38s]  inside,
[171.70s -> 171.86s]  I
[171.94s -> 172.06s]  feel
[172.06s -> 172.36s]  your
[172.36s -> 172.72s]  goodbye
[172.72s -> 173.22s]  La
[173.22s -> 173.40s]  la
[173.40s -> 173.68s]  la
[173.68s -> 173.88s]  la
[173.88s -> 174.22s]  la
[174.22s -> 174.56s]  la
[174.56s -> 174.76s]  la
[174.76s -> 174.92s]  la
[174.92s -> 174.92s]  oh
[174.92s -> 175.14s]  oh
[175.30s -> 175.54s]  La
[175.54s -> 175.80s]  la
[175.80s -> 176.16s]  la
[176.16s -> 176.46s]  la
[176.46s -> 176.68s]  la
[176.68s -> 176.98s]  la
[176.98s -> 177.14s]  la
[177.14s -> 177.38s]  oh
[177.38s -> 177.54s]  oh
[177.70s -> 177.96s]  La
[177.96s -> 178.16s]  la
[178.16s -> 178.54s]  la
[178.54s -> 178.68s]  la
[178.68s -> 179.10s]  la
[179.10s -> 179.40s]  la
[179.40s -> 179.54s]  la
[179.54s -> 179.72s]  oh
[179.72s -> 179.87s]  oh
[180.90s -> 181.00s]  And
[181.00s -> 181.18s]  in
[181.18s -> 181.42s]  that
[181.42s -> 181.58s]  chest,
[181.66s -> 181.94s]  me,
[182.00s -> 182.20s]  I
[182.20s -> 182.46s]  stand
[182.46s -> 182.80s]  between
[182.80s -> 183.30s]  you
[183.30s -> 183.66s]  My
[183.66s -> 183.98s]  mom
[183.98s -> 184.16s]  has
[184.16s -> 184.30s]  seen
[184.30s -> 184.40s]  my
[184.40s -> 184.68s]  thoughts,
[184.80s -> 185.02s]  what's
[185.02s -> 185.14s]  in
[185.14s -> 185.34s]  game
[185.34s -> 185.66s]  has
[185.66s -> 185.84s]  built
[185.84s -> 186.08s]  And
[186.08s -> 186.48s]  slowly
[186.48s -> 186.76s]  closing
[186.76s -> 187.00s]  my
[187.00s -> 187.44s]  eyes
[187.44s -> 187.64s]  end
[187.64s -> 187.84s]  up
[187.84s -> 188.06s]  the
[188.06s -> 188.32s]  line
[188.32s -> 188.50s]  of
[188.50s -> 188.68s]  such
[188.68s -> 188.86s]  a
[188.86s -> 189.12s]  long
[189.12s -> 189.54s]  journey
[189.54s -> 190.64s]  Finally
[190.64s -> 191.36s]  united
[191.36s -> 191.92s]  again
