[2.56s -> 2.66s]  Not
[34.76s -> 35.40s]  do
[35.40s -> 35.74s]  we
[35.74s -> 36.12s]  know
[36.12s -> 36.46s]  I
[36.46s -> 36.72s]  brought
[36.72s -> 37.08s]  it
[37.08s -> 37.54s]  down?
[38.78s -> 38.88s]  What
[38.88s -> 39.04s]  can
[39.26s -> 39.36s]  I
[39.36s -> 39.74s]  know?
[39.88s -> 40.46s]  Trying
[40.46s -> 41.04s]  to
[41.04s -> 41.46s]  say
[41.46s -> 42.06s]  that
[42.06s -> 42.36s]  but
[42.36s -> 42.80s]  I
[42.80s -> 44.25s]  haven't
[44.56s -> 45.04s]  That
[45.04s -> 45.26s]  could
[45.26s -> 45.42s]  I
[45.42s -> 45.60s]  were
[45.60s -> 45.74s]  not
[45.74s -> 46.10s]  climb
[46.10s -> 46.52s]  up
[46.52s -> 46.74s]  and
[46.74s -> 47.10s]  keep
[47.10s -> 47.44s]  fall
[47.92s -> 48.02s]  Such
[48.02s -> 48.16s]  a
[48.16s -> 48.64s]  good
[48.64s -> 49.08s]  heart
[49.08s -> 49.42s]  and
[49.42s -> 49.80s]  screep
[49.80s -> 50.08s]  fall
[50.45s -> 51.50s]  Sayonara
[51.50s -> 51.94s]  to
[51.94s -> 52.36s]  go
[52.36s -> 52.72s]  on
[52.72s -> 53.10s]  We
[53.10s -> 53.42s]  know
[53.42s -> 53.76s]  where
[53.76s -> 54.00s]  our
[54.00s -> 54.46s]  back
[54.46s -> 54.74s]  could
[54.74s -> 55.18s]  wind
[55.18s -> 55.68s]  up
[55.97s -> 56.12s]  It's
[56.12s -> 56.14s]  a
[56.14s -> 56.44s]  heart,
[56.56s -> 56.66s]  who
[56.67s -> 56.90s]  am
[56.90s -> 57.06s]  I
[57.06s -> 57.30s]  to
[57.58s -> 57.68s]  get
[57.68s -> 58.08s]  on?
[58.26s -> 58.54s]  You
[58.56s -> 58.74s]  came
[58.74s -> 58.88s]  to
[58.88s -> 59.10s]  me,
[59.20s -> 59.50s]  the
[59.55s -> 59.70s]  small
[59.70s -> 60.18s]  words
[60.18s -> 60.40s]  you
[60.40s -> 60.66s]  said
[60.72s -> 61.52s]  Falling
[61.52s -> 61.84s]  out,
[61.94s -> 62.20s]  I
[62.24s -> 62.40s]  know
[62.40s -> 62.58s]  the
[62.58s -> 62.90s]  words,
[63.06s -> 63.50s]  I
[63.55s -> 63.70s]  run
[63.70s -> 64.26s]  out
[74.82s -> 74.92s]  It
[74.92s -> 75.06s]  all
[75.06s -> 75.34s]  began
[75.34s -> 75.68s]  on
[75.68s -> 75.88s]  a
[75.88s -> 76.04s]  warm
[76.04s -> 76.54s]  morning
[76.58s -> 77.32s]  I
[77.54s -> 77.80s]  never
[77.80s -> 78.00s]  should
[78.00s -> 78.32s]  somebody
[78.32s -> 78.74s]  come
[78.74s -> 78.98s]  to
[78.98s -> 79.30s]  that
[79.80s -> 80.30s]  Inside
[80.30s -> 80.60s]  of
[80.60s -> 80.80s]  it,
[80.80s -> 80.94s]  a
[80.94s -> 81.12s]  home
[81.12s -> 81.32s]  without
[81.32s -> 81.60s]  will
[81.60s -> 81.76s]  be
[81.76s -> 82.10s]  lost
[82.10s -> 82.90s]  The
[82.98s -> 83.60s]  commonalities
[83.60s -> 83.98s]  around
[83.98s -> 84.32s]  without
[84.32s -> 84.74s]  you
[84.74s -> 85.12s]  there
[85.68s -> 85.88s]  Why
[85.88s -> 86.02s]  do
[86.02s -> 86.40s]  we
[86.40s -> 86.74s]  know
[86.74s -> 87.04s]  you
[87.04s -> 87.44s]  keep
[87.44s -> 87.68s]  me
[87.68s -> 88.20s]  down?
[89.50s -> 89.80s]  So
[89.80s -> 90.32s]  that's
[90.32s -> 90.44s]  it
[90.44s -> 90.98s]  I
[91.04s -> 91.36s]  should
[91.36s -> 91.84s]  blame
[91.84s -> 92.10s]  my
[92.10s -> 92.40s]  own
[92.40s -> 92.88s]  past,
[93.04s -> 93.12s]  yet
[93.12s -> 93.40s]  I
[93.40s -> 94.20s]  haven't
[95.78s -> 95.88s]  A
[95.88s -> 96.12s]  little
[96.12s -> 96.48s]  time
[96.48s -> 96.72s]  you
[96.72s -> 96.96s]  stick
[96.96s -> 97.24s]  your
[97.24s -> 97.48s]  love
[97.48s -> 97.74s]  by
[97.74s -> 97.88s]  a
[97.88s -> 98.12s]  wish
[98.12s -> 98.28s] -o
[98.28s -> 98.54s]  So
[98.54s -> 98.72s]  let
[98.72s -> 98.92s]  us
[98.92s -> 99.18s]  hide
[99.18s -> 99.32s]  you
[99.32s -> 99.78s]  ending
[99.78s -> 100.10s]  all
[100.10s -> 100.20s]  my
[100.20s -> 100.50s]  time
[100.50s -> 100.72s]  with
[100.72s -> 100.92s]  you
[100.92s -> 101.26s]  We're
[101.26s -> 101.44s]  going
[101.44s -> 101.88s]  down,
[101.90s -> 102.08s]  down,
[102.14s -> 102.38s]  far,
[102.48s -> 102.64s]  we're
[102.64s -> 102.82s]  letting
[102.82s -> 103.04s]  it
[103.04s -> 103.42s]  down,
[103.48s -> 103.58s]  oh
[103.58s -> 103.94s]  We're
[103.94s -> 104.06s]  just
[104.06s -> 104.38s]  another
[104.38s -> 105.04s]  example
[105.04s -> 105.48s]  of
[105.48s -> 105.52s]  a
[105.52s -> 105.74s]  new
[105.74s -> 106.18s]  denarii
[106.18s -> 106.44s]  story
[106.44s -> 107.10s]  now
[107.44s -> 107.70s]  Upon
[107.70s -> 107.94s]  a
[107.94s -> 108.14s]  laugh
[108.14s -> 108.26s]  you
[108.26s -> 108.44s]  have
[108.44s -> 108.72s]  that
[108.72s -> 109.24s]  even
[109.24s -> 109.74s]  shine
[110.38s -> 110.90s]  Seemingly
[110.90s -> 111.32s]  so
[111.32s -> 111.74s]  bright,
[111.88s -> 112.06s]  all
[112.06s -> 112.42s]  caught
[112.42s -> 112.76s]  in
[112.76s -> 113.04s]  was
[113.04s -> 113.48s]  soot
[113.48s -> 114.30s]  Covered
[114.30s -> 114.38s]  in
[114.38s -> 114.92s]  dust
[116.18s -> 116.94s]  Bakura
[116.94s -> 117.46s]  We're
[117.46s -> 117.66s]  not
[117.66s -> 118.10s]  quite
[118.10s -> 118.66s]  Muppet
[118.66s -> 119.20s]  people
[119.33s -> 120.10s]  Such
[120.10s -> 120.22s]  a
[120.22s -> 120.64s]  kind
[120.64s -> 121.08s]  heart
[121.08s -> 121.36s]  And
[121.36s -> 122.04s]  cripple
[122.04s -> 123.42s]  Sayonara
[123.42s -> 123.94s]  Need
[123.94s -> 124.32s]  to
[124.32s -> 124.66s]  go
[124.66s -> 124.98s]  Through
[124.98s -> 125.48s]  these
[125.48s -> 125.84s]  streets
[125.84s -> 126.04s]  So
[126.04s -> 126.44s]  what
[126.44s -> 126.80s]  is
[126.91s -> 127.10s]  to
[127.10s -> 127.38s]  end
[127.38s -> 127.55s]  up
[128.00s -> 128.18s]  It's
[128.18s -> 128.18s]  a
[128.18s -> 128.42s]  heart
[128.42s -> 128.70s]  Who
[128.70s -> 128.90s]  am
[128.90s -> 129.08s]  I
[129.08s -> 129.30s]  to
[129.31s -> 129.68s]  get
[129.68s -> 130.14s]  on
[130.14s -> 130.54s]  You
[130.56s -> 130.72s]  came
[130.72s -> 130.90s]  to
[130.90s -> 131.10s]  me
[131.19s -> 131.88s]  It's
[131.88s -> 131.98s]  too
[131.98s -> 132.26s]  much
[132.54s -> 132.80s]  When
[132.80s -> 133.15s]  actually
[133.36s -> 134.46s]  Words
[134.46s -> 134.68s]  like
[134.68s -> 135.12s]  these
[135.12s -> 135.42s]  Pour
[135.42s -> 135.80s]  right
[135.80s -> 136.22s]  out
[155.00s -> 155.52s]  Recomplication,
[155.55s -> 155.66s]  how
[155.66s -> 155.90s]  they
[155.94s -> 156.10s]  got
[156.10s -> 156.28s]  the
[156.28s -> 156.50s]  heart
[156.50s -> 156.74s]  to
[156.74s -> 156.98s]  burn
[156.98s -> 157.24s]  It
[157.24s -> 157.42s]  could
[157.42s -> 157.60s]  have
[157.60s -> 157.80s]  been
[157.80s -> 157.92s]  a
[157.92s -> 158.10s]  lot
[158.10s -> 158.20s]  more
[158.20s -> 158.72s]  hard
[158.72s -> 159.02s]  if
[159.02s -> 159.34s]  those
[159.34s -> 159.82s]  Can't
[159.82s -> 160.28s]  forget
[160.28s -> 160.78s]  all
[160.78s -> 161.04s]  you
[161.04s -> 161.36s]  will
[161.36s -> 161.72s]  see
[161.72s -> 162.12s]  And
[162.12s -> 162.42s]  end
[162.42s -> 162.82s]  up
[162.82s -> 163.24s]  walking
[163.24s -> 163.70s]  just
[163.70s -> 164.00s]  for
[164.00s -> 164.62s]  giving
[164.62s -> 164.99s]  up
[165.28s -> 165.38s]  When
[165.38s -> 165.60s]  our
[165.60s -> 166.24s]  affections
[166.24s -> 166.44s]  start
[166.44s -> 166.56s]  to
[166.56s -> 166.76s]  leave
[166.76s -> 167.18s]  Behold,
[167.24s -> 167.50s]  I
[167.55s -> 167.78s]  rise
[167.78s -> 167.88s]  and
[167.88s -> 168.08s]  feel
[168.08s -> 168.36s]  enough
[168.41s -> 169.26s]  Cloudy
[169.26s -> 169.40s]  days
[169.40s -> 169.58s]  of
[169.58s -> 169.92s]  madness
[169.92s -> 170.44s]  Now
[170.44s -> 170.80s]  we've
[170.80s -> 171.14s]  got
[171.14s -> 171.68s]  no
[171.68s -> 172.06s]  more
[172.06s -> 172.46s]  left
[172.46s -> 172.72s]  to
[172.72s -> 173.44s]  recover
[177.74s -> 178.42s]  But
[178.42s -> 178.62s]  could
[178.62s -> 178.76s]  I
[178.76s -> 178.94s]  were
[178.94s -> 179.06s]  not
[179.06s -> 179.42s]  climb
[179.42s -> 179.82s]  up
[179.82s -> 180.06s]  and
[180.06s -> 180.42s]  keep
[180.42s -> 180.80s]  on
[180.80s -> 180.98s]  But
[180.98s -> 181.26s]  could
[181.28s -> 181.40s]  I
[181.40s -> 181.58s]  were
[181.58s -> 181.70s]  not
[181.70s -> 182.18s]  climb
[182.18s -> 182.48s]  up
[182.48s -> 182.68s]  and
[182.68s -> 183.08s]  keep
[183.08s -> 183.54s]  on
[184.00s -> 184.10s]  Such
[184.10s -> 184.10s]  a
[184.10s -> 184.68s]  kind
[184.68s -> 185.00s]  heart
[185.00s -> 185.40s]  and
[185.40s -> 185.79s]  grateful
[185.82s -> 186.68s]  Say
[186.68s -> 187.10s]  you're
[187.10s -> 187.34s]  not
[187.34s -> 187.82s]  up
[187.82s -> 188.02s]  to
[188.02s -> 188.36s]  go
[188.36s -> 188.74s]  on
[188.74s -> 189.06s]  We
[189.06s -> 189.40s]  know
[189.40s -> 189.80s]  we're
[189.80s -> 190.14s]  out
[190.24s -> 190.34s]  the
[190.34s -> 190.72s]  clock
[190.85s -> 191.40s]  Find
[191.40s -> 191.74s]  out,
[192.00s -> 192.16s]  it's
[192.16s -> 192.16s]  a
[192.16s -> 192.46s]  heart
[192.46s -> 192.68s]  who
[192.68s -> 192.90s]  am
[192.90s -> 193.06s]  I
[193.06s -> 193.30s]  to
[193.38s -> 193.72s]  keep
[193.72s -> 193.82s]  on
[194.21s -> 194.58s]  You
[194.62s -> 194.74s]  came
[194.74s -> 194.90s]  to
[194.90s -> 195.08s]  me,
[195.20s -> 195.58s]  there's
[195.58s -> 195.66s]  more
[195.66s -> 196.18s]  words
[196.18s -> 196.38s]  you
[196.38s -> 196.68s]  start
[196.68s -> 197.26s]  pouring
[197.26s -> 197.84s]  out
[197.84s -> 198.24s]  I
[198.24s -> 198.36s]  know
[198.36s -> 198.58s]  the
[198.58s -> 199.02s]  world's
[199.02s -> 199.60s]  around
[199.60s -> 200.12s]  now
[201.02s -> 201.68s]  So
[201.70s -> 202.08s]  let
[202.08s -> 202.50s]  them
[202.50s -> 202.74s]  all
[202.74s -> 202.84s]  in,
[203.30s -> 203.56s]  climb
[203.56s -> 203.84s]  up
[203.84s -> 204.02s]  and
[204.32s -> 204.42s]  keep
[204.42s -> 204.52s]  on
[205.26s -> 205.36s]  Such
[205.36s -> 205.62s]  a
[205.63s -> 206.12s]  kind
[206.12s -> 206.38s]  heart
[206.38s -> 206.72s]  and
[206.72s -> 207.01s]  script,
[207.16s -> 207.40s]  oh
[207.40s -> 208.02s]  If
[208.02s -> 208.32s]  we
[208.32s -> 208.70s]  can
[208.70s -> 209.14s]  leave
[209.14s -> 209.50s]  this
[209.50s -> 209.84s]  heart
[209.84s -> 210.20s]  of
[210.20s -> 210.36s]  a
[210.36s -> 210.78s]  goat
[210.78s -> 211.02s]  to
[211.02s -> 211.44s]  that
[211.44s -> 211.80s]  day
[211.80s -> 212.08s]  and
[212.32s -> 212.44s]  turn
[212.44s -> 212.94s]  around
[213.31s -> 213.48s]  Can't
[213.48s -> 213.78s]  help
[213.78s -> 214.24s]  but
[214.24s -> 214.37s]  thanks,
[214.62s -> 214.94s]  alright
[214.94s -> 215.46s]  then
[215.80s -> 215.90s]  You
[215.90s -> 216.06s]  came
[216.06s -> 216.22s]  to
[216.22s -> 216.42s]  me,
[216.54s -> 216.88s]  there
[216.88s -> 217.02s]  was
[217.02s -> 217.28s]  one
[217.28s -> 217.54s]  too,
[217.76s -> 218.14s]  they're
[218.34s -> 218.62s]  boring
[218.62s -> 219.12s]  now
[219.12s -> 219.58s]  But
[219.58s -> 219.80s]  never
[219.80s -> 220.18s]  reach,
[220.42s -> 220.84s]  I
[220.90s -> 221.14s]  laughed
[221.14s -> 221.46s]  out
[222.58s -> 223.30s]  Through
[223.30s -> 223.74s]  cold
[224.00s -> 224.10s]  breeze
[224.10s -> 224.72s]  and
[224.92s -> 225.02s]  a
[225.02s -> 225.54s]  far
[225.54s -> 226.00s] -off
[226.00s -> 226.48s]  sunrise
[254.74s -> 254.90s]  Thank
[254.90s -> 254.98s]  you.
