[4.06s -> 4.16s]  Here
[86.50s -> 86.78s]  we're
[86.78s -> 87.20s]  able
[87.23s -> 87.86s]  to
[87.90s -> 88.20s]  keep
[88.20s -> 88.52s]  going
[88.52s -> 89.04s]  hand
[89.28s -> 89.40s]  in
[89.40s -> 89.72s]  hand
[89.72s -> 90.16s]  We
[90.16s -> 90.58s]  will
[90.58s -> 91.00s]  be
[91.00s -> 91.48s]  happy
[91.48s -> 91.88s]  and
[91.88s -> 92.34s]  living
[92.34s -> 92.98s]  together
[92.98s -> 93.62s]  with
[93.62s -> 93.84s]  a
[93.84s -> 94.30s]  smile
[94.30s -> 95.08s]  I'm
[95.08s -> 95.50s]  thinking
[95.55s -> 95.96s]  of
[95.96s -> 96.10s]  what
[96.10s -> 96.46s]  I
[96.46s -> 96.72s]  can
[96.72s -> 97.04s]  do
[97.04s -> 97.22s]  to
[97.22s -> 97.62s]  make
[97.62s -> 97.98s]  it
[97.98s -> 98.38s]  better
[98.38s -> 98.98s]  now
[115.40s -> 116.22s]  Back
[116.22s -> 116.48s]  on
[116.48s -> 116.68s]  the
[116.68s -> 117.10s]  other
[117.10s -> 117.64s]  side
[117.80s -> 117.90s]  of
[117.90s -> 118.48s]  fortune
[118.48s -> 119.08s]  That's
[119.08s -> 119.44s]  taken
[119.44s -> 119.94s]  up
[119.94s -> 120.12s]  by
[120.12s -> 120.68s]  somebody
[120.68s -> 121.56s]  Friends
[121.56s -> 121.88s]  have
[121.88s -> 122.20s]  lost
[122.20s -> 123.04s]  location
[123.04s -> 123.52s]  A
[123.52s -> 123.86s]  place
[123.86s -> 124.12s]  to
[124.12s -> 124.52s]  live
[124.52s -> 124.78s]  and
[124.78s -> 124.98s]  come
[124.98s -> 125.36s]  home
[125.36s -> 125.58s]  to
[125.58s -> 126.30s]  Only
[126.30s -> 126.72s]  thing
[126.72s -> 126.96s]  he
[126.96s -> 127.60s]  wanted
[127.60s -> 128.14s]  Was
[128.14s -> 128.38s]  to
[128.38s -> 129.52s]  harmoniously
[129.52s -> 130.38s]  Be
[130.38s -> 130.74s]  living
[130.74s -> 131.28s]  here
[131.28s -> 131.86s]  together
[131.86s -> 132.50s]  in
[132.50s -> 132.78s]  just
[132.78s -> 133.10s]  me
[134.06s -> 134.72s]  Could
[134.72s -> 135.04s]  not
[135.04s -> 135.30s]  see
[135.30s -> 136.16s]  anything
[136.98s -> 137.80s]  Overtaken
[137.80s -> 138.12s]  by
[138.12s -> 138.64s]  sorrow
[138.75s -> 139.70s]  Shadows
[139.70s -> 140.08s]  almost
[140.08s -> 140.50s]  here
[140.50s -> 140.70s]  to
[140.70s -> 141.04s]  stay
[141.80s -> 142.32s]  colors
[142.32s -> 142.76s]  in
[142.88s -> 142.98s]  my
[142.98s -> 143.34s]  soul
[143.34s -> 143.86s]  When
[143.86s -> 144.14s]  you
[144.14s -> 144.54s]  start
[144.54s -> 144.98s]  to
[144.99s -> 145.52s]  forget
[145.54s -> 146.16s]  and
[146.16s -> 146.68s]  accept
[146.68s -> 147.06s]  our
[147.06s -> 147.66s]  differences
[148.03s -> 148.46s]  We
[148.46s -> 148.90s]  begin
[148.90s -> 149.28s]  to
[149.28s -> 149.60s]  make
[149.60s -> 150.24s]  connection
[150.24s -> 150.78s]  once
[150.78s -> 151.28s]  again
[152.58s -> 152.68s]  What
[152.68s -> 153.00s]  could
[153.00s -> 153.34s]  it
[153.34s -> 153.56s]  be
[153.63s -> 154.12s]  that
[154.12s -> 154.44s]  we
[154.44s -> 154.72s]  can
[154.72s -> 154.94s]  be
[155.26s -> 155.40s]  doing
[155.40s -> 155.96s]  now
[155.96s -> 156.58s]  Even
[156.58s -> 157.02s]  if
[157.20s -> 157.30s]  we
[157.30s -> 157.92s]  couldn't
[157.92s -> 158.26s]  change
[158.26s -> 158.68s]  it
[158.68s -> 159.08s]  all
[159.08s -> 159.56s]  By
[159.56s -> 159.96s]  doing
[159.96s -> 160.80s]  everything
[161.18s -> 161.34s]  we
[161.34s -> 161.54s]  can
[161.54s -> 161.90s]  let
[161.90s -> 162.24s]  it
[162.24s -> 162.38s]  be
[162.38s -> 162.80s]  known
[162.80s -> 163.28s]  To
[163.39s -> 164.22s]  somebody's
[164.42s -> 164.84s]  vagal
[164.84s -> 165.09s]  home
[165.22s -> 165.60s]  Bring
[165.60s -> 165.88s]  a
[165.88s -> 166.32s]  little
[166.56s -> 166.78s]  bit
[166.78s -> 167.08s]  of
[167.08s -> 167.82s]  vibrancy
[167.82s -> 168.16s]  in
[168.16s -> 168.56s]  color
[168.56s -> 169.00s]  to
[169.00s -> 169.32s]  their
[169.32s -> 169.90s]  world
[171.80s -> 171.98s]  Far
[171.98s -> 172.58s]  from
[172.58s -> 172.72s]  a
[172.72s -> 173.20s]  precious
[173.20s -> 173.66s]  source
[173.66s -> 173.96s]  of
[173.96s -> 174.30s]  life
[175.16s -> 175.68s]  It's
[175.68s -> 176.00s]  nothing
[176.00s -> 176.56s]  like
[176.56s -> 177.92s]  anybody's
[177.92s -> 178.20s]  shit
[178.20s -> 178.44s]  or
[178.44s -> 178.88s]  gold
[178.88s -> 179.64s]  But
[179.64s -> 179.90s]  just
[179.90s -> 180.16s]  as
[180.16s -> 180.48s]  hell
[180.48s -> 180.70s]  we
[180.70s -> 181.02s]  see
[181.18s -> 181.88s]  If
[181.88s -> 182.06s]  we
[182.06s -> 182.34s]  could
[182.66s -> 182.82s]  make
[182.82s -> 183.06s]  our
[183.06s -> 183.52s]  world
[183.52s -> 184.10s]  Start
[184.99s -> 185.26s]  overflowing
[185.26s -> 185.60s]  with
[185.60s -> 185.94s]  a
[185.94s -> 186.34s]  subtle
[186.34s -> 186.84s]  little
[186.84s -> 187.32s]  piece
[187.32s -> 187.60s]  of
[187.60s -> 188.04s]  love
[188.04s -> 188.76s]  Take
[188.76s -> 189.26s]  notice
[189.26s -> 189.70s]  what's
[189.70s -> 190.00s]  around
[190.02s -> 190.92s]  Some
[190.92s -> 191.54s]  changes
[191.54s -> 191.84s]  you
[191.84s -> 192.12s]  will
[192.12s -> 192.48s]  see
[192.56s -> 193.46s]  Under
[193.46s -> 193.82s]  the
[194.02s -> 194.12s]  same
[194.12s -> 194.68s]  sky
[194.68s -> 195.12s]  we'll
[195.12s -> 195.38s]  let
[195.38s -> 195.62s]  it
[195.62s -> 195.90s]  one
[195.90s -> 196.22s]  day
[196.22s -> 196.64s]  it'll
[196.64s -> 197.06s]  show
[197.06s -> 197.84s]  So
[197.86s -> 198.22s]  goes
[198.22s -> 198.40s]  the
[198.40s -> 198.86s]  story
[198.86s -> 199.32s]  of
[199.32s -> 199.54s]  small
[199.54s -> 199.90s]  and
[199.90s -> 200.26s]  little
[202.30s -> 202.40s]  Me
[202.40s -> 202.94s]  holding
[202.94s -> 203.30s]  a
[203.30s -> 203.62s]  big
[203.62s -> 204.10s]  dream
