[0.60s -> 0.70s]  Why
[25.96s -> 26.20s]  you
[26.42s -> 26.52s]  do
[26.52s -> 26.86s]  know
[26.86s -> 27.14s]  how
[27.14s -> 27.72s]  So
[27.72s -> 28.08s]  that
[28.08s -> 28.30s]  way
[28.30s -> 28.66s]  all
[28.66s -> 28.82s]  of
[28.82s -> 29.00s]  that
[29.00s -> 29.38s]  joy
[29.49s -> 30.24s]  Rose
[30.24s -> 30.54s]  after
[30.54s -> 30.76s]  it
[30.76s -> 31.00s]  turned
[31.00s -> 31.22s]  into
[31.22s -> 31.58s]  you
[50.46s -> 50.94s]  I
[50.94s -> 51.18s]  was
[51.18s -> 51.30s]  so
[51.33s -> 51.48s]  on
[51.48s -> 51.58s]  the
[51.58s -> 51.82s]  move
[51.82s -> 52.06s]  again
[52.06s -> 52.38s]  and
[52.38s -> 52.56s]  this
[52.56s -> 53.02s]  morning
[53.02s -> 53.52s]  Whenever
[53.52s -> 53.88s]  all
[53.88s -> 53.98s]  the
[53.98s -> 54.16s]  scenes
[54.16s -> 54.40s]  appear
[54.40s -> 54.84s]  I'm
[54.84s -> 55.00s]  passed
[55.00s -> 55.28s]  by
[55.28s -> 55.52s]  me
[57.14s -> 57.24s]  Of
[57.24s -> 57.48s]  what
[57.48s -> 57.78s]  you're
[57.78s -> 58.18s]  needing
[58.18s -> 58.62s]  me
[58.62s -> 58.94s]  to
[58.94s -> 59.24s]  bring
[59.24s -> 59.92s]  over
[59.92s -> 60.10s]  to
[60.10s -> 60.34s]  you
[60.50s -> 60.90s]  Receiving
[60.90s -> 61.06s]  what
[61.06s -> 61.22s]  you
[61.22s -> 61.38s]  said
[61.38s -> 61.50s]  to
[61.50s -> 61.96s]  notify
[61.96s -> 62.36s]  attention
[62.70s -> 63.20s]  Never
[63.20s -> 63.50s]  mind
[63.50s -> 63.76s]  that
[63.76s -> 63.98s]  today
[63.98s -> 64.30s]  the
[64.30s -> 64.64s]  fortune
[64.64s -> 65.10s]  was
[65.10s -> 65.52s]  If
[65.52s -> 65.80s]  you
[65.80s -> 66.16s]  go
[66.16s -> 66.70s]  outside,
[66.94s -> 67.48s]  comfort
[67.48s -> 68.54s]  someone's
[68.54s -> 68.88s]  shoes
[68.88s -> 69.46s]  way
[69.46s -> 70.32s]  And
[70.34s -> 70.58s]  so
[70.58s -> 70.92s]  I
[70.92s -> 71.46s]  just
[71.49s -> 71.86s]  go
[71.86s -> 72.34s]  about
[72.34s -> 72.72s]  my
[72.72s -> 73.02s]  own
[73.02s -> 73.30s]  Keep
[73.30s -> 73.56s]  us
[73.56s -> 74.00s]  somewhere
[74.00s -> 74.44s]  there
[74.44s -> 74.60s]  in
[74.60s -> 74.70s]  my
[74.70s -> 75.20s]  mind
[75.20s -> 75.94s]  Into
[75.94s -> 76.52s]  another
[76.52s -> 76.94s]  new
[76.94s -> 77.20s]  day
[77.29s -> 77.84s]  Most
[77.84s -> 79.04s]  of
[79.04s -> 79.26s]  it
[79.26s -> 79.36s]  I
[79.36s -> 79.58s]  can,
[79.70s -> 80.02s]  most
[80.02s -> 80.22s]  of
[80.22s -> 80.44s]  it
[80.44s -> 80.56s]  I
[80.56s -> 80.82s]  can
[80.82s -> 81.12s]  We
[81.12s -> 81.44s]  take
[81.44s -> 81.74s]  a
[81.74s -> 82.06s]  step
[82.06s -> 82.44s]  out
[82.44s -> 82.66s]  in
[82.66s -> 82.90s]  the
[82.90s -> 83.34s]  world
[83.34s -> 83.68s]  Most
[83.68s -> 83.82s]  of
[83.82s -> 84.04s]  it
[84.04s -> 84.18s]  I
[84.18s -> 84.38s]  can,
[84.48s -> 84.60s]  I
[84.61s -> 84.72s]  do
[84.72s -> 85.02s]  know
[85.02s -> 85.22s]  what
[85.22s -> 85.36s]  I
[85.36s -> 85.58s]  can
[87.58s -> 88.14s]  I'll
[88.14s -> 88.70s]  never
[88.70s -> 89.10s]  recall
[89.12s -> 89.60s]  each
[89.60s -> 89.96s]  hour
[89.96s -> 90.24s]  I'm
[90.24s -> 90.34s]  on
[90.34s -> 90.88s]  It's
[90.88s -> 90.94s]  a
[90.94s -> 91.22s]  lovely
[91.22s -> 91.76s]  feeling
[91.76s -> 92.26s]  of
[92.26s -> 92.60s]  that
[92.60s -> 93.16s]  day
[93.41s -> 93.68s]  turning
[93.68s -> 94.24s]  around
[94.24s -> 94.96s]  So
[94.96s -> 95.34s]  glad
[95.34s -> 95.60s]  I'm
[95.60s -> 95.88s]  feeling
[95.88s -> 96.18s]  that
[96.18s -> 96.60s]  joy
[96.62s -> 97.22s]  I
[97.22s -> 97.46s]  rose
[97.46s -> 97.64s]  on
[97.64s -> 97.78s]  the
[97.78s -> 98.08s]  rhythm,
[98.26s -> 98.36s]  and
[98.37s -> 98.50s]  to
[98.50s -> 98.80s]  you
[99.09s -> 99.84s]  I
[99.94s -> 100.06s]  got
[100.06s -> 100.36s]  used
[100.36s -> 100.64s]  to
[100.64s -> 100.80s]  the
[100.80s -> 101.02s]  heavy
[101.02s -> 101.46s]  darkness
[101.46s -> 101.76s]  on
[101.76s -> 101.96s]  the
[101.96s -> 102.32s]  screen
[102.32s -> 102.64s]  And
[102.64s -> 102.74s]  I
[102.74s -> 102.94s]  feel
[102.94s -> 103.16s]  as
[103.16s -> 103.32s]  if
[103.32s -> 103.40s]  they
[103.40s -> 103.66s]  forgot
[103.66s -> 103.98s]  all
[103.98s -> 104.22s]  about
[104.22s -> 104.74s]  me
[104.74s -> 105.04s]  When
[105.04s -> 105.16s]  I
[105.16s -> 105.48s]  think
[105.48s -> 105.76s]  about
[105.76s -> 106.10s]  it,
[106.14s -> 106.28s]  so
[106.28s -> 106.94s]  unhappy
[107.68s -> 108.08s]  Wondering
[108.08s -> 108.24s]  if
[108.24s -> 108.34s]  I
[108.34s -> 108.48s]  am
[108.48s -> 108.88s]  necessary
[109.08s -> 109.78s]  I
[109.79s -> 109.94s]  thought
[109.94s -> 110.24s]  about
[110.24s -> 110.42s]  you
[110.42s -> 110.54s]  and
[110.54s -> 110.98s]  reminded
[110.98s -> 111.44s]  and
[111.44s -> 111.72s]  flashed
[111.72s -> 111.96s]  back
[111.96s -> 112.22s]  I
[112.22s -> 112.36s]  know
[112.36s -> 112.48s]  you
[112.48s -> 112.66s]  need
[112.66s -> 112.80s]  to
[112.80s -> 112.98s]  feel
[112.98s -> 113.16s]  like
[113.16s -> 113.34s]  I'm
[113.34s -> 113.54s]  not
[113.54s -> 113.96s]  buying
[113.96s -> 114.18s]  back
[114.18s -> 114.74s]  I
[114.74s -> 115.00s]  take
[115.00s -> 115.40s]  it
[115.40s -> 115.86s]  upon
[115.86s -> 116.20s]  me
[116.20s -> 116.52s]  to
[116.52s -> 116.94s]  live
[116.94s -> 117.62s]  in
[117.92s -> 118.02s]  Go
[118.02s -> 118.68s]  meet
[118.68s -> 119.10s]  you
[122.00s -> 122.78s]  It's
[122.78s -> 122.86s]  all
[122.86s -> 123.24s]  that
[123.26s -> 123.76s]  I
[123.76s -> 124.46s]  need
[137.97s -> 138.62s]  Made
[138.62s -> 138.82s]  any
[138.82s -> 139.22s]  wonder
[139.33s -> 139.48s]  so
[139.48s -> 139.72s]  long
[139.72s -> 139.90s]  for
[139.90s -> 140.16s]  this
[140.16s -> 140.62s]  morning
[140.62s -> 140.98s]  All
[140.98s -> 141.30s]  moments
[141.30s -> 141.46s]  of
[141.46s -> 141.62s]  the
[141.62s -> 141.98s]  sentimental
[141.98s -> 142.88s]  learnings
[144.18s -> 144.50s]  Gone
[144.50s -> 144.78s]  back,
[144.88s -> 145.14s]  oh,
[145.18s -> 145.46s]  I
[145.46s -> 145.66s]  have
[145.66s -> 146.10s]  quickly
[146.10s -> 146.54s]  just
[146.54s -> 146.90s]  hit
[146.90s -> 147.16s]  the
[147.16s -> 147.36s]  road
[147.36s -> 147.74s]  Suddenly,
[148.00s -> 148.22s]  the
[148.22s -> 148.40s]  felt
[148.40s -> 148.54s]  of
[148.54s -> 148.68s]  that
[148.68s -> 149.23s]  kindness
[149.44s -> 149.84s]  Then
[149.84s -> 150.06s]  you
[150.06s -> 150.40s]  got
[150.40s -> 150.60s]  to
[150.60s -> 150.80s]  see
[150.80s -> 150.88s]  it
[150.88s -> 151.10s]  turn
[151.10s -> 151.24s]  into
[151.24s -> 151.50s]  the
[151.50s -> 151.88s]  kindness
[151.88s -> 152.16s]  that
[152.16s -> 152.44s]  I
[152.44s -> 152.90s]  got
[152.90s -> 153.76s]  All
[153.76s -> 154.10s]  out
[154.10s -> 154.42s]  rose
[154.42s -> 154.70s]  on
[154.70s -> 154.90s]  to
[154.90s -> 155.22s]  be
[155.22s -> 155.88s]  out
[155.88s -> 156.44s]  back
[156.44s -> 157.02s]  to
[157.02s -> 157.68s]  you
[159.04s -> 159.28s]  Most
[159.28s -> 159.46s]  of
[159.46s -> 159.64s]  it
[159.64s -> 159.76s]  I
[159.76s -> 159.96s]  can,
[160.08s -> 160.44s]  most
[160.44s -> 160.64s]  of
[160.64s -> 160.84s]  it
[160.84s -> 160.94s]  I
[160.94s -> 161.22s]  can
[161.22s -> 161.54s]  Since
[161.54s -> 161.84s]  I
[161.84s -> 162.10s]  could
[162.10s -> 162.46s]  step
[162.46s -> 162.84s]  out
[162.84s -> 163.06s]  in
[163.06s -> 163.30s]  the
[163.30s -> 163.74s]  world
[163.74s -> 164.06s]  Most
[164.06s -> 164.26s]  of
[164.26s -> 164.44s]  it
[164.44s -> 164.56s]  I
[164.56s -> 164.80s]  can,
[164.86s -> 165.02s]  oh,
[165.14s -> 165.24s]  to
[165.24s -> 165.46s]  know
[165.46s -> 165.62s]  what
[165.62s -> 165.76s]  I
[165.76s -> 166.02s]  can
[166.02s -> 166.44s]  Act
[166.44s -> 166.66s]  out
[166.66s -> 167.00s]  of
[167.00s -> 167.34s]  truth
[167.34s -> 167.58s]  and
[167.58s -> 167.70s]  to
[167.70s -> 167.84s]  be
[167.84s -> 168.08s]  my
[168.08s -> 168.54s]  heart
[168.54s -> 168.80s]  And
[168.80s -> 169.04s]  I
[169.04s -> 169.26s]  won't
[169.26s -> 169.36s]  say
[169.36s -> 169.52s]  that,
[169.70s -> 169.90s]  oh,
[170.02s -> 170.26s]  since
[170.26s -> 170.40s]  I
[170.40s -> 170.70s]  resolved
[170.70s -> 171.10s]  A
[171.14s -> 171.58s]  stupid
[171.58s -> 172.06s]  suit
[172.06s -> 172.40s]  when
[172.40s -> 172.72s]  it
[172.72s -> 173.24s]  nearly
[173.24s -> 173.88s]  has
[174.06s -> 174.16s]  now
[174.16s -> 174.68s]  arrived
[174.68s -> 175.42s]  Finding
[175.42s -> 175.72s]  all
[175.72s -> 176.10s]  around
[176.10s -> 176.44s]  as
[176.44s -> 176.58s]  it
[176.58s -> 177.04s]  flows
[177.20s -> 177.80s]  Go
[177.80s -> 178.12s]  on
[178.12s -> 178.36s]  now
[178.36s -> 178.52s]  from
[178.52s -> 178.66s]  you
[178.66s -> 178.82s]  to
[178.82s -> 178.92s]  my
[178.92s -> 179.23s]  heart
[179.55s -> 180.00s]  Receiving
[180.00s -> 180.18s]  it
[180.18s -> 180.29s]  all
[180.48s -> 180.72s]  I
[180.74s -> 181.04s]  know
[181.04s -> 181.44s]  you've
[181.47s -> 181.70s]  got
[181.70s -> 182.02s]  it
[182.21s -> 182.32s]  coming
[182.32s -> 182.86s]  through
[182.86s -> 183.10s]  So
[183.10s -> 183.54s]  focus
[183.54s -> 183.78s]  on
[183.78s -> 184.06s]  us
[184.06s -> 184.36s]  From
[184.36s -> 184.64s]  me
[184.64s -> 184.78s]  to
[184.78s -> 184.94s]  you
[184.94s -> 185.20s]  now
[185.20s -> 185.64s]  Joy
[185.64s -> 185.84s]  is
[185.84s -> 186.10s]  the
[186.10s -> 186.54s]  feeling
[186.54s -> 186.96s]  spreading
[186.96s -> 187.52s]  around
[187.65s -> 187.94s]  I
[187.94s -> 188.32s]  carry
[188.32s -> 188.56s]  this
[188.56s -> 188.80s]  out
[188.80s -> 189.16s]  And
[189.18s -> 189.40s]  see
[189.40s -> 189.58s]  the
[189.58s -> 189.92s]  colors
[190.14s -> 190.36s]  Through
[190.36s -> 190.76s]  every
[191.12s -> 191.22s]  step
[191.22s -> 191.64s]  out
[191.64s -> 191.88s]  I
[191.88s -> 192.14s]  see
[192.14s -> 192.94s]  kindness
[192.94s -> 193.32s]  from
[193.32s -> 193.64s]  me
[193.64s -> 193.94s]  now
[194.15s -> 194.80s]  Arriving
[194.80s -> 194.86s]  at
[194.86s -> 195.12s]  the
[195.12s -> 195.38s]  last
[195.38s -> 195.58s]  to
[195.58s -> 195.74s]  play
[195.74s -> 196.03s]  roles
[196.58s -> 196.96s]  Forever
[196.96s -> 197.28s]  going
[197.28s -> 197.72s]  around
[197.89s -> 198.02s]  as
[198.02s -> 198.18s]  it
[198.18s -> 198.64s]  flows
[201.92s -> 202.34s]  Revolving
[202.34s -> 202.76s]  on
[202.76s -> 202.98s]  and
[202.98s -> 203.30s]  on
[204.92s -> 205.44s]  Ah,
[205.44s -> 205.68s]  ah,
[205.70s -> 206.82s]  ah,
[206.82s -> 207.18s]  ah,
[207.18s -> 207.90s]  ah
[207.90s -> 208.16s]  On
[208.16s -> 208.42s]  to
[208.42s -> 208.68s]  live
[208.77s -> 208.92s]  another
[208.92s -> 209.30s]  day
[209.44s -> 209.54s]  of
[209.54s -> 209.82s]  that
[209.82s -> 210.28s]  life
[210.28s -> 210.64s]  While
[210.64s -> 210.94s]  you're
[210.94s -> 211.16s]  living
[211.16s -> 211.44s]  in
[211.44s -> 211.52s]  a
[211.52s -> 211.88s]  moment
[211.88s -> 212.22s]  when
[212.22s -> 212.54s]  you
[212.54s -> 212.92s]  find
[212.92s -> 213.56s]  A
[213.63s -> 213.80s]  little
[213.80s -> 214.08s]  piece
[214.08s -> 214.34s]  of
[214.34s -> 214.60s]  joy
[214.60s -> 214.80s]  that
[214.80s -> 215.04s]  you're
[215.04s -> 215.38s]  owed
[215.90s -> 216.00s]  I
[216.00s -> 216.16s]  will
[216.16s -> 216.32s]  be
[216.32s -> 216.56s]  hoping
[216.56s -> 216.76s]  that
[216.76s -> 216.90s]  you
[216.90s -> 217.16s]  will
[217.18s -> 217.40s]  know
[217.40s -> 217.52s]  it
