[0.86s -> 1.18s]  Feeling
[102.28s -> 103.28s]  And
[103.28s -> 103.58s]  soon
[103.58s -> 103.98s]  all
[103.98s -> 104.36s]  life
[104.36s -> 104.92s]  begins
[105.50s -> 105.98s]  You
[105.98s -> 106.28s]  and
[106.28s -> 106.62s]  me
[106.62s -> 107.00s]  will
[107.00s -> 107.26s]  be
[107.26s -> 107.72s]  all
[107.72s -> 108.67s]  around
[109.47s -> 109.72s]  And
[110.20s -> 110.30s]  more
[110.30s -> 110.40s]  almost
[110.96s -> 111.66s]  Don't
[111.66s -> 111.84s]  utter
[111.84s -> 112.08s]  what
[112.08s -> 112.44s]  I'm
[112.44s -> 112.66s]  waiting
[112.66s -> 112.94s]  for
[113.57s -> 113.84s]  So
[113.84s -> 114.18s]  please
[114.18s -> 114.40s]  go
[114.53s -> 114.66s]  on
[114.66s -> 114.74s]  and
[114.74s -> 114.96s]  talk
[114.96s -> 115.20s]  about
[115.20s -> 115.44s]  it
[115.44s -> 115.70s]  I'll
[115.74s -> 115.86s]  be
[115.87s -> 116.50s]  waiting
[116.50s -> 116.82s]  right
[116.82s -> 117.16s]  there
[117.16s -> 117.38s]  to
[117.44s -> 117.64s]  hear
[117.64s -> 117.92s]  you
[135.38s -> 135.48s]  No
[135.65s -> 135.98s]  one
[136.22s -> 136.38s]  knows
[136.38s -> 136.68s]  of
[136.68s -> 137.02s]  this
[137.02s -> 137.70s]  night
[138.50s -> 139.12s]  Nobody's
[139.12s -> 139.28s]  here
[139.28s -> 139.42s]  but
[139.42s -> 139.66s]  me
[139.66s -> 140.36s]  and
[140.36s -> 140.98s]  you
[140.98s -> 141.42s]  The
[141.42s -> 141.74s]  scenery
[141.74s -> 142.06s]  I
[142.06s -> 142.56s]  waited
[142.56s -> 142.88s]  for
[142.88s -> 143.26s]  now
[143.26s -> 144.18s]  overlapping
[144.18s -> 144.92s]  with
[144.92s -> 145.72s]  our
[145.72s -> 146.24s]  view
[146.24s -> 146.70s]  The
[146.70s -> 147.04s]  present
[147.04s -> 147.24s]  and
[147.24s -> 147.64s]  beyond
[147.64s -> 148.16s]  upon
[148.16s -> 148.42s]  a
[148.42s -> 148.64s]  summer
[148.64s -> 148.90s]  sky
[148.90s -> 149.36s]  I
[149.44s -> 149.60s]  touch
[149.60s -> 149.80s]  and
[149.80s -> 150.02s]  I'm
[150.02s -> 150.20s]  within
[150.21s -> 150.68s]  the
[150.69s -> 151.28s]  firework
[151.28s -> 151.36s]  I
[151.36s -> 151.64s]  see
[151.64s -> 152.14s]  We're
[152.14s -> 152.26s]  in
[152.26s -> 152.42s]  the
[152.42s -> 152.62s]  focal
[152.62s -> 153.00s]  place
[153.00s -> 153.28s]  where
[153.28s -> 153.48s]  I
[153.48s -> 153.80s]  hand
[153.80s -> 153.94s]  on
[153.94s -> 154.04s]  to
[154.04s -> 154.30s]  trace
[154.30s -> 154.58s]  my
[154.58s -> 154.92s]  dream
[154.92s -> 155.34s]  with
[155.34s -> 155.55s]  you
[157.15s -> 157.32s]  We're
[157.32s -> 157.78s]  looking
[157.78s -> 158.40s]  up
[159.30s -> 159.44s]  into
[159.44s -> 159.88s]  the
[159.88s -> 160.34s]  skies
[160.34s -> 160.67s]  above
[161.88s -> 161.98s]  Lit
[161.98s -> 162.34s]  up
[162.34s -> 162.60s]  and
[162.60s -> 163.00s]  shining
[163.00s -> 163.66s]  bright
[164.21s -> 164.58s]  Shit
[164.58s -> 164.92s]  light
[164.92s -> 165.36s]  up
[165.36s -> 165.70s]  on
[165.70s -> 165.94s]  your
[165.94s -> 166.58s]  profile
[167.52s -> 168.02s]  Violent
[168.02s -> 168.36s]  ass,
[168.94s -> 169.04s]  so
[169.04s -> 169.30s]  us
[169.30s -> 169.80s]  don't
[169.80s -> 169.94s]  let
[169.94s -> 170.22s]  us
[170.22s -> 170.42s]  do
[170.42s -> 170.56s]  the
[170.56s -> 170.78s]  same
[170.78s -> 170.88s]  thing
[170.88s -> 171.06s]  that
[171.06s -> 171.30s]  made
[171.34s -> 171.44s]  us
[171.44s -> 171.62s]  who
[171.62s -> 172.02s]  it's
[172.02s -> 172.12s]  too
[172.20s -> 172.64s]  Over,
[172.86s -> 173.10s]  you
[173.12s -> 173.26s]  just
[173.26s -> 173.44s]  have
[173.44s -> 173.56s]  to
[173.56s -> 173.66s]  go
[173.66s -> 173.76s]  here
[173.76s -> 174.00s]  right
[174.05s -> 174.34s]  now
[174.34s -> 174.64s]  and
[174.64s -> 175.24s]  overlap
[175.88s -> 175.98s]  in
[175.98s -> 176.28s]  real
[176.28s -> 176.88s]  soon
[182.14s -> 182.74s]  Ah,
[182.74s -> 183.34s]  you're
[183.34s -> 183.56s]  in
[183.56s -> 183.96s]  our
[183.96s -> 184.26s]  night
[184.26s -> 184.62s]  with
[184.62s -> 184.96s]  me,
[185.38s -> 185.96s]  just
[185.96s -> 186.24s]  me
[186.24s -> 186.62s]  and
[186.62s -> 186.92s]  you
[186.92s -> 187.54s]  dancing
[188.24s -> 188.54s]  For
[188.54s -> 188.92s]  told
[188.92s -> 189.32s]  that
[189.32s -> 189.70s]  night
[189.70s -> 190.00s]  we're
[190.00s -> 190.48s]  from
[190.48s -> 191.43s]  arriving
[192.12s -> 192.92s]  Find
[192.92s -> 193.32s]  God
[193.32s -> 193.60s]  through
[193.60s -> 193.94s]  your
[193.94s -> 194.20s]  mind
[194.20s -> 194.38s]  will
[194.38s -> 194.76s]  be
[195.00s -> 195.10s]  told
[195.10s -> 195.64s]  Find
[195.64s -> 195.96s]  God
[195.96s -> 196.30s]  through
[196.30s -> 196.54s]  be
[196.54s -> 196.74s]  understood
[197.09s -> 197.70s]  And
[197.88s -> 197.98s]  that
[198.24s -> 198.38s]  seems
[198.38s -> 198.88s]  the
[199.01s -> 199.72s]  only
[199.72s -> 200.86s]  dream
[200.86s -> 201.88s]  to
[201.88s -> 202.04s]  be
[202.04s -> 202.82s]  reaching
[203.20s -> 204.26s]  And
[204.58s -> 205.00s]  now
[205.00s -> 205.30s]  through
[205.30s -> 205.68s]  our
[205.68s -> 206.24s]  presence
[206.24s -> 207.30s]  And
[207.30s -> 207.60s]  soon
[207.60s -> 207.98s]  no
[207.98s -> 208.24s]  one
[208.24s -> 208.88s]  begins
[209.14s -> 210.04s]  And
[210.04s -> 210.30s]  our
[210.30s -> 210.66s]  days
[210.66s -> 210.98s]  are
[210.98s -> 211.24s]  in
[211.24s -> 211.60s]  turn
[211.60s -> 212.24s]  for
[212.24s -> 213.26s]  we've
[213.26s -> 213.78s]  met
[213.78s -> 214.28s]  More
[214.28s -> 214.86s]  almost,
[215.16s -> 215.66s]  don't
[215.66s -> 215.84s]  utter
[215.84s -> 216.12s]  what
[216.12s -> 216.44s]  I'm
[216.44s -> 216.68s]  waiting
[216.68s -> 216.94s]  for
[216.96s -> 217.56s]  Almost
[217.82s -> 217.94s]  look
[217.94s -> 218.18s]  out,
[218.20s -> 218.54s]  find
[218.54s -> 218.72s]  a
[218.72s -> 218.96s]  load
[218.96s -> 219.12s]  of
[219.12s -> 219.40s]  fireworks
[219.40s -> 219.50s]  Your
[219.55s -> 219.72s]  world
[219.74s -> 219.96s]  is
[219.96s -> 220.32s]  now
[220.32s -> 220.62s]  here,
[220.62s -> 220.92s]  I've
[220.92s -> 221.12s]  been
[221.12s -> 221.32s]  over
[221.32s -> 221.64s]  too
[222.38s -> 222.88s]  No
[222.88s -> 223.24s]  doubt,
[223.34s -> 223.56s]  no
[223.56s -> 223.92s]  sound
[223.92s -> 224.40s]  in
[224.40s -> 224.66s]  this
[224.66s -> 225.02s]  silence
[225.76s -> 225.86s]  You
[225.86s -> 226.02s]  speak,
[226.22s -> 226.70s]  I'm
[226.70s -> 226.70s]  in
[226.70s -> 226.94s]  love
[226.94s -> 227.12s]  with
[227.12s -> 227.36s]  you
