[2.78s -> 3.42s]  Happening
[27.04s -> 27.32s]  into
[27.32s -> 27.80s]  changing
[27.80s -> 28.20s]  these
[28.20s -> 29.04s]  feelings
[30.00s -> 30.26s]  A
[30.26s -> 30.56s]  blossom
[30.56s -> 31.18s]  of
[31.18s -> 31.58s]  romance
[31.58s -> 32.28s]  grew
[32.34s -> 33.04s]  In
[33.04s -> 33.22s]  no
[33.22s -> 33.46s]  way
[33.46s -> 33.66s]  can
[33.66s -> 33.94s]  we
[33.94s -> 34.28s]  ever
[34.28s -> 34.66s]  meet
[34.66s -> 34.88s]  up
[34.88s -> 35.06s]  in
[35.06s -> 35.34s]  real
[35.34s -> 35.86s]  life
[35.86s -> 36.26s]  You
[36.26s -> 36.44s]  and
[36.44s -> 36.72s]  I
[36.72s -> 37.32s]  evolve
[37.32s -> 37.68s]  our
[37.68s -> 37.94s]  way
[38.02s -> 38.12s]  in
[38.12s -> 38.48s]  domains
[38.48s -> 39.18s]  apart
[39.18s -> 39.86s]  So
[39.86s -> 40.18s]  we're
[40.18s -> 40.38s]  not
[40.38s -> 40.70s]  frozen
[40.70s -> 41.16s]  lines
[41.16s -> 41.86s]  Stacks
[41.86s -> 41.96s]  of
[41.96s -> 42.28s]  fused
[42.28s -> 42.62s]  feelings
[42.64s -> 43.84s]  Profile
[43.84s -> 44.06s]  not
[44.06s -> 44.42s]  even
[44.42s -> 44.90s]  known
[45.80s -> 46.44s]  In
[46.44s -> 46.54s]  the
[46.69s -> 46.92s]  center
[46.92s -> 47.26s]  for
[47.26s -> 47.54s]  now
[47.54s -> 48.08s]  Don't
[48.08s -> 48.44s]  mind
[48.44s -> 49.26s]  conditions
[49.51s -> 50.36s]  Expecting
[50.36s -> 50.48s]  to
[50.48s -> 50.82s]  love
[50.82s -> 50.98s]  you
[50.98s -> 51.34s]  worse
[51.58s -> 51.88s]  Waiting
[51.88s -> 52.18s]  goes
[52.18s -> 52.36s]  and
[52.36s -> 52.50s]  I
[52.50s -> 52.82s]  can't
[52.82s -> 52.98s]  stand
[52.98s -> 53.28s]  that
[53.30s -> 53.50s]  It
[53.66s -> 53.78s]  is
[53.78s -> 54.04s]  true,
[54.08s -> 54.20s]  I
[54.20s -> 54.40s]  don't
[54.40s -> 54.56s]  think
[54.56s -> 54.92s]  forever
[54.92s -> 55.34s]  we
[55.34s -> 55.58s]  go
[55.58s -> 55.92s]  Far
[55.92s -> 56.52s]  beyond
[56.52s -> 56.82s]  all
[56.82s -> 57.46s]  limitations
[57.55s -> 58.30s]  Don't
[58.30s -> 58.30s]  know
[58.30s -> 58.64s]  why
[58.64s -> 59.02s]  me
[59.02s -> 59.30s]  and
[59.30s -> 59.58s]  you,
[59.64s -> 59.96s]  me
[59.96s -> 60.22s]  and
[60.22s -> 60.52s]  you
[60.52s -> 60.72s]  Are
[60.86s -> 61.06s]  sending
[61.06s -> 61.48s]  out
[61.48s -> 61.72s]  a
[61.72s -> 61.98s]  feeling
[62.12s -> 62.74s]  If
[62.88s -> 62.98s]  my
[62.98s -> 63.28s]  wish
[63.28s -> 63.44s]  has
[63.44s -> 63.60s]  got
[63.60s -> 63.74s]  me
[63.74s -> 64.02s]  through
[64.02s -> 64.32s]  about
[64.70s -> 64.80s]  One
[64.80s -> 65.14s]  glance
[65.15s -> 65.28s]  is
[65.28s -> 65.46s]  all
[65.46s -> 65.64s]  I
[65.64s -> 65.86s]  need
[65.86s -> 66.22s]  Oh
[66.22s -> 66.42s]  I
[66.42s -> 66.72s]  don't
[66.72s -> 66.94s]  need
[66.94s -> 67.12s]  you
[67.12s -> 67.30s]  now
[67.30s -> 67.56s]  I
[67.58s -> 67.84s]  love
[67.84s -> 68.08s]  you
[68.08s -> 68.40s]  that's
[68.40s -> 68.72s]  why
[82.28s -> 82.84s]  A
[82.84s -> 83.20s]  forcing
[83.20s -> 83.64s]  thought
[83.64s -> 83.82s]  I
[83.82s -> 84.06s]  was
[84.06s -> 84.40s]  reminded
[84.40s -> 84.94s]  of
[84.94s -> 85.34s]  What's
[85.34s -> 85.64s]  in
[85.64s -> 86.10s]  your
[86.10s -> 86.66s]  time
[86.66s -> 87.00s]  in
[87.00s -> 87.40s]  history
[87.40s -> 88.22s]  recorded
[88.22s -> 88.56s]  to
[88.56s -> 88.74s]  be
[88.74s -> 89.16s]  found?
[89.44s -> 89.90s]  A
[89.92s -> 90.20s]  curse
[90.20s -> 90.68s]  tomorrow,
[91.14s -> 91.62s]  cause
[91.62s -> 91.82s]  of
[91.82s -> 92.10s]  all
[92.10s -> 92.32s]  tears
[92.32s -> 92.48s]  to
[92.48s -> 92.88s]  fall
[92.88s -> 93.40s]  Too
[93.40s -> 93.74s]  late
[93.74s -> 93.86s]  to
[93.86s -> 94.16s]  know
[94.16s -> 94.40s]  it
[94.40s -> 94.64s]  now
[95.87s -> 96.34s]  Somehow
[96.34s -> 96.80s]  I'm
[96.80s -> 96.92s]  in
[96.92s -> 97.18s]  need
[97.18s -> 97.42s]  of
[97.42s -> 97.58s]  a
[97.58s -> 98.06s]  miracle
[98.50s -> 99.40s]  So
[99.40s -> 99.76s]  time
[99.76s -> 99.98s]  went
[99.98s -> 100.34s]  on,
[100.36s -> 100.88s]  as
[100.88s -> 101.02s]  it
[101.02s -> 101.48s]  flowed,
[101.48s -> 102.00s]  passing
[102.00s -> 102.42s]  through
[102.42s -> 102.68s]  all
[102.68s -> 103.10s]  seasons
[103.10s -> 103.66s]  All
[103.66s -> 103.84s]  your
[103.84s -> 104.30s]  letters
[104.30s -> 104.50s]  no
[104.50s -> 105.04s]  longer
[105.04s -> 105.82s]  reaching
[105.82s -> 106.16s]  me
[106.16s -> 106.84s]  Those
[106.84s -> 107.14s]  words
[107.14s -> 107.26s]  that
[107.26s -> 107.74s]  can't
[107.74s -> 107.96s]  come
[107.96s -> 108.20s]  to
[108.20s -> 108.46s]  me
[108.46s -> 108.70s]  but
[108.70s -> 109.10s]  only
[109.10s -> 109.48s]  hurt
[109.48s -> 110.16s]  inside
[110.16s -> 111.02s]  Pressure
[111.02s -> 111.44s]  onto
[111.44s -> 111.86s]  my
[111.86s -> 112.52s]  distances
[112.52s -> 112.60s]  and
[112.60s -> 114.50s]  soons
[115.90s -> 116.20s]  What
[116.20s -> 116.56s]  is
[116.56s -> 116.86s]  found
[116.86s -> 117.26s]  down
[117.26s -> 117.48s]  the
[117.48s -> 117.82s]  line
[117.82s -> 118.12s]  from
[118.12s -> 118.38s]  a
[118.38s -> 118.72s]  hundred
[118.72s -> 119.06s]  years
[119.06s -> 119.44s]  ago
[119.90s -> 120.00s]  See
[120.00s -> 120.24s]  it
[120.24s -> 120.48s]  with
[120.48s -> 120.64s]  my
[120.64s -> 120.78s]  own
[120.78s -> 121.02s]  two
[121.02s -> 121.48s]  eyes
[121.76s -> 121.90s]  as
[121.90s -> 122.10s]  you
[122.10s -> 122.34s]  hope
[122.34s -> 122.48s]  to
[122.48s -> 122.78s]  imagine
[122.78s -> 123.20s]  in
[123.20s -> 123.40s]  the
[123.40s -> 123.84s]  future
[123.84s -> 124.02s]  The
[124.02s -> 124.32s]  road
[124.32s -> 124.62s]  that
[124.62s -> 124.94s]  I'm
[124.94s -> 125.12s]  now
[125.12s -> 125.64s]  taking
[125.64s -> 126.04s]  and
[126.04s -> 126.24s]  still
[126.24s -> 126.66s]  walking
[126.66s -> 126.98s]  on
[127.18s -> 127.28s]  There's
[127.28s -> 127.28s]  a
[127.28s -> 127.64s]  feeling
[127.64s -> 128.08s]  still
[128.16s -> 128.48s]  holding
[128.48s -> 128.82s]  on
[128.93s -> 129.06s]  I
[129.16s -> 129.26s]  keep
[129.26s -> 129.44s]  it
[129.60s -> 129.74s]  locked
[129.76s -> 129.96s]  inside
[129.96s -> 130.22s]  my
[130.22s -> 130.66s]  heart
[130.66s -> 130.98s]  So
[130.98s -> 131.32s]  at
[131.32s -> 131.70s]  last
[131.70s -> 132.08s]  holding
[132.08s -> 132.56s]  it,
[132.58s -> 132.88s]  your
[132.88s -> 133.30s]  letter
[133.30s -> 133.56s]  that
[133.56s -> 133.86s]  came
[133.86s -> 134.06s]  to
[134.06s -> 134.34s]  me
[135.28s -> 135.38s]  Recognized
[135.38s -> 135.46s]  and
[135.46s -> 135.62s]  I'm
[135.65s -> 136.08s]  reminded
[136.08s -> 136.68s]  of
[136.68s -> 136.86s]  those
[136.99s -> 137.14s]  long
[137.14s -> 137.59s] -awaited
[137.66s -> 138.08s]  Countless
[138.28s -> 138.38s]  that
[138.38s -> 138.68s]  I
[138.68s -> 138.94s]  have
[138.94s -> 139.34s]  in
[139.34s -> 139.58s]  my
[139.58s -> 139.94s]  hand
[139.94s -> 140.30s]  For
[140.30s -> 140.50s]  you
[140.50s -> 140.80s]  and
[140.80s -> 140.96s]  me
[140.96s -> 141.22s]  on
[141.22s -> 141.46s]  that
[141.46s -> 141.80s]  day
[142.52s -> 142.80s]  Bring
[142.80s -> 143.10s]  the
[143.10s -> 143.50s]  design
[143.50s -> 143.80s]  that
[143.80s -> 144.04s]  has
[144.04s -> 144.22s]  no
[144.22s -> 144.50s]  top
[144.50s -> 144.64s]  you
[144.64s -> 144.82s]  love
[144.82s -> 144.98s]  to
[144.98s -> 145.38s]  me
[145.38s -> 145.78s]  You
[145.78s -> 146.14s]  left
[146.20s -> 146.30s]  and
[146.40s -> 146.50s]  your
[146.50s -> 146.78s]  era
[146.78s -> 147.10s]  is
[147.33s -> 147.48s]  sure
[147.48s -> 147.86s]  the
[147.86s -> 148.40s]  evidence
[148.40s -> 148.78s]  of
[148.78s -> 149.28s]  metal
[149.28s -> 149.88s]  Crossing
[149.88s -> 150.14s]  the
[150.14s -> 150.74s]  generations,
[151.14s -> 151.40s]  grasp
[151.40s -> 151.74s]  better
[151.74s -> 152.10s]  in
[152.10s -> 152.42s]  my
[152.42s -> 152.86s]  hands
[152.86s -> 153.20s]  I
[153.20s -> 153.58s]  gather
[153.58s -> 153.90s]  all
[153.92s -> 154.02s]  truths
[154.11s -> 154.26s]  I
[154.26s -> 154.46s]  can
[154.46s -> 154.88s]  see,
[154.96s -> 155.30s]  as
[155.30s -> 155.56s]  we're
[155.56s -> 155.82s]  alone
[155.82s -> 156.24s]  today
[156.24s -> 156.64s]  From
[156.64s -> 156.90s]  now
[156.90s -> 157.12s]  in
[157.12s -> 157.42s]  time,
[157.48s -> 157.68s]  I'll
[157.68s -> 157.90s]  walk
[157.92s -> 158.02s]  the
[158.02s -> 158.24s]  way
[158.24s -> 158.48s]  to
[158.48s -> 158.66s]  let
[158.82s -> 158.92s]  you
[158.92s -> 159.28s]  know
